ip,ident,user,timestamp,request,status,size
95.108.151.244,-,-,2012-06-22T00:41:26+02:00,GET /?C=D;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:27+02:00,GET /?C=D;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:28+02:00,GET /?C=M;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:29+02:00,GET /?C=N;O=D HTTP/1.1,200,656
95.108.151.244,-,-,2012-06-22T00:41:30+02:00,GET /?C=M;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:31+02:00,GET /?C=N;O=D HTTP/1.1,200,656
95.108.151.244,-,-,2012-06-22T00:41:32+02:00,GET /?C=S;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:33+02:00,GET /logs/ HTTP/1.1,200,716
95.108.151.244,-,-,2012-06-22T00:41:34+02:00,GET /?C=S;O=A HTTP/1.1,200,658
95.108.151.244,-,-,2012-06-22T00:41:35+02:00,GET /logs/ HTTP/1.1,200,716
95.108.151.244,-,-,2012-06-22T00:41:36+02:00,GET /robots.txt HTTP/1.1,404,530
95.108.151.244,-,-,2012-06-22T00:41:36+02:00,GET /robots.txt HTTP/1.1,404,533
95.108.151.244,-,-,2012-06-22T00:41:37+02:00,GET /?C=D;O=A HTTP/1.1,200,662
95.108.151.244,-,-,2012-06-22T00:41:37+02:00,GET /?C=D;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:38+02:00,GET /?C=D;O=A HTTP/1.1,200,662
95.108.151.244,-,-,2012-06-22T00:41:38+02:00,GET /?C=D;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:39+02:00,GET /?C=M;O=A HTTP/1.1,200,663
95.108.151.244,-,-,2012-06-22T00:41:40+02:00,GET /?C=N;O=D HTTP/1.1,200,660
95.108.151.244,-,-,2012-06-22T00:41:41+02:00,GET /?C=M;O=A HTTP/1.1,200,663
95.108.151.244,-,-,2012-06-22T00:41:42+02:00,GET /?C=N;O=D HTTP/1.1,200,660
95.108.151.244,-,-,2012-06-22T00:41:43+02:00,GET /?C=S;O=A HTTP/1.1,200,663
95.108.151.244,-,-,2012-06-22T00:41:45+02:00,GET /logs/ HTTP/1.1,200,721
95.108.151.244,-,-,2012-06-22T00:41:46+02:00,GET /?C=S;O=A HTTP/1.1,200,663
95.108.151.244,-,-,2012-06-22T00:41:46+02:00,GET /?C=M;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:47+02:00,GET /logs/ HTTP/1.1,200,721
95.108.151.244,-,-,2012-06-22T00:41:47+02:00,GET /?C=M;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:48+02:00,GET /?C=N;O=D HTTP/1.1,200,662
95.108.151.244,-,-,2012-06-22T00:41:49+02:00,GET /?C=S;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:50+02:00,GET /?C=N;O=D HTTP/1.1,200,662
95.108.151.244,-,-,2012-06-22T00:41:51+02:00,GET /?C=S;O=A HTTP/1.1,200,664
95.108.151.244,-,-,2012-06-22T00:41:52+02:00,GET /logs/ HTTP/1.1,200,722
95.108.151.244,-,-,2012-06-22T00:41:53+02:00,GET /logs/ HTTP/1.1,200,722
66.249.68.77,-,-,2012-06-22T01:28:45+02:00,GET /robots.txt HTTP/1.1,404,506
66.249.68.77,-,-,2012-06-22T01:28:45+02:00,GET / HTTP/1.1,200,662
1.202.218.8,-,-,2012-06-22T01:47:53+02:00,GET /robots.txt HTTP/1.0,404,488
123.125.71.53,-,-,2012-06-22T02:33:23+02:00,GET / HTTP/1.1,200,913
220.181.108.85,-,-,2012-06-22T02:34:02+02:00,GET / HTTP/1.1,200,913
123.125.71.53,-,-,2012-06-22T03:27:56+02:00,GET / HTTP/1.1,200,908
220.181.108.82,-,-,2012-06-22T03:28:13+02:00,GET / HTTP/1.1,200,908
1.202.218.8,-,-,2012-06-22T03:38:54+02:00,GET /robots.txt HTTP/1.0,404,492
123.125.71.50,-,-,2012-06-22T04:23:44+02:00,GET / HTTP/1.1,200,912
220.181.108.81,-,-,2012-06-22T04:23:58+02:00,GET / HTTP/1.1,200,912
190.2.103.16,-,-,2012-06-22T04:29:43+02:00,GET /logs/access.log HTTP/1.1,200,40311
190.2.103.16,-,-,2012-06-22T04:29:44+02:00,GET /favicon.ico HTTP/1.1,404,502
190.2.103.16,-,-,2012-06-22T04:29:45+02:00,GET /favicon.ico HTTP/1.1,404,502
173.242.125.191,-,-,2012-06-22T04:36:38+02:00,GET /robots.txt HTTP/1.0,404,488
173.242.125.191,-,-,2012-06-22T04:36:40+02:00,GET / HTTP/1.0,200,621
180.76.6.225,-,-,2012-06-22T05:07:16+02:00,GET / HTTP/1.1,200,908
123.125.71.53,-,-,2012-06-22T05:34:01+02:00,GET / HTTP/1.1,200,916
220.181.108.114,-,-,2012-06-22T05:34:39+02:00,GET / HTTP/1.1,200,916
65.52.108.25,-,-,2012-06-22T06:39:50+02:00,GET /robots.txt HTTP/1.1,404,535
65.52.108.25,-,-,2012-06-22T06:41:03+02:00,GET /poweradmin/ HTTP/1.1,404,511
207.210.234.226,-,-,2012-06-22T06:42:38+02:00,GET /robots.txt HTTP/1.0,404,468
207.210.234.226,-,-,2012-06-22T06:42:39+02:00,GET / HTTP/1.0,200,625
66.249.71.217,-,-,2012-06-22T06:42:43+02:00,GET /robots.txt HTTP/1.1,404,503
66.249.71.217,-,-,2012-06-22T06:42:43+02:00,GET / HTTP/1.1,200,658
123.125.71.27,-,-,2012-06-22T07:33:56+02:00,GET / HTTP/1.1,200,913
220.181.108.110,-,-,2012-06-22T07:34:36+02:00,GET / HTTP/1.1,200,913
123.125.71.46,-,-,2012-06-22T08:23:35+02:00,GET / HTTP/1.1,200,908
220.181.108.96,-,-,2012-06-22T08:23:52+02:00,GET / HTTP/1.1,200,908
123.125.71.47,-,-,2012-06-22T09:24:41+02:00,GET / HTTP/1.1,200,912
220.181.108.85,-,-,2012-06-22T09:25:01+02:00,GET / HTTP/1.1,200,912
1.202.218.8,-,-,2012-06-22T10:14:04+02:00,GET /robots.txt HTTP/1.0,404,488
123.125.71.49,-,-,2012-06-22T10:16:28+02:00,GET /icons/folder.gif HTTP/1.1,200,479
207.210.234.226,-,-,2012-06-22T10:16:40+02:00,GET /robots.txt HTTP/1.0,404,465
207.210.234.226,-,-,2012-06-22T10:16:41+02:00,GET / HTTP/1.0,200,621
123.125.71.34,-,-,2012-06-22T10:31:25+02:00,GET / HTTP/1.1,200,916
220.181.108.77,-,-,2012-06-22T10:31:59+02:00,GET / HTTP/1.1,200,916
173.242.125.191,-,-,2012-06-22T10:53:08+02:00,GET /robots.txt HTTP/1.0,404,488
173.242.125.191,-,-,2012-06-22T10:53:09+02:00,GET / HTTP/1.0,200,621
65.52.108.46,-,-,2012-06-22T11:01:43+02:00,GET /robots.txt HTTP/1.1,404,526
180.76.5.183,-,-,2012-06-22T11:07:43+02:00,GET / HTTP/1.1,200,908
195.171.204.18,-,-,2012-06-22T11:18:19+02:00,GET /logs/access.log HTTP/1.1,200,45120
